hs4,simple_average,year_x,Reporter_ISO_N,ReporterName_x,trade_value_total,year_y,ReporterCode,ReporterName_y,partner_name,partner_iso,tariff_revenue_estimate,trade_value_formatted,tariff_rate_formatted,tariff_revenue_formatted,category,category_code
1001,1.32,2023,840,United States,784096437.0,2024,842,"USA,PR,USVI",World,WLD,10350072.9684,$784.1M,1.32%,$10.4M,Cereals,10
1001,1.32,2023,840,United States,1065757.0,2024,842,"USA,PR,USVI",Argentina,ARG,14067.9924,$1.1M,1.32%,$14.1K,Cereals,10
1001,1.32,2023,840,United States,39132.0,2024,842,"USA,PR,USVI",Armenia,ARM,516.5424,$39.1K,1.32%,$517,Cereals,10
1001,1.32,2023,840,United States,32445.0,2024,842,"USA,PR,USVI",Belgium,BEL,428.274,$32.4K,1.32%,$428,Cereals,10
1001,1.32,2023,840,United States,711336143.0,2024,842,"USA,PR,USVI",Canada,CAN,9389637.0876,$711.3M,1.32%,$9.4M,Cereals,10
1001,1.32,2023,840,United States,38125.0,2024,842,"USA,PR,USVI",Costa Rica,CRI,503.25,$38.1K,1.32%,$503,Cereals,10
1001,1.32,2023,840,United States,43697.0,2024,842,"USA,PR,USVI",Dominican Rp,DOM,576.8004,$43.7K,1.32%,$577,Cereals,10
1001,1.32,2023,840,United States,19069332.0,2024,842,"USA,PR,USVI",France+Monac,FRA,251715.1824,$19.1M,1.32%,$251.7K,Cereals,10
1001,1.32,2023,840,United States,8279914.000000001,2024,842,"USA,PR,USVI",Germany,DEU,109294.86480000001,$8.3M,1.32%,$109.3K,Cereals,10
1001,1.32,2023,840,United States,3432.0,2024,842,"USA,PR,USVI",Israel,ISR,45.3024,$3.4K,1.32%,$45,Cereals,10
1001,1.32,2023,840,United States,945362.0,2024,842,"USA,PR,USVI",Italy,ITA,12478.7784,$945.4K,1.32%,$12.5K,Cereals,10
1001,1.32,2023,840,United States,9001.0,2024,842,"USA,PR,USVI",Lebanon,LBN,118.8132,$9.0K,1.32%,$119,Cereals,10
1001,1.32,2023,840,United States,323719.0,2024,842,"USA,PR,USVI",Mexico,MEX,4273.0908,$323.7K,1.32%,$4.3K,Cereals,10
1001,1.32,2023,840,United States,9900.0,2024,842,"USA,PR,USVI",Morocco,MAR,130.68,$9.9K,1.32%,$131,Cereals,10
1001,1.32,2023,840,United States,270333.0,2024,842,"USA,PR,USVI",New Zealand,NZL,3568.3956,$270.3K,1.32%,$3.6K,Cereals,10
1001,1.32,2023,840,United States,151751.0,2024,842,"USA,PR,USVI",Peru,PER,2003.1132,$151.8K,1.32%,$2.0K,Cereals,10
1001,1.32,2023,840,United States,42360223.0,2024,842,"USA,PR,USVI",Poland,POL,559154.9436,$42.4M,1.32%,$559.2K,Cereals,10
1001,1.32,2023,840,United States,7112.0,2024,842,"USA,PR,USVI",India,IND,93.8784,$7.1K,1.32%,$94,Cereals,10
1001,1.32,2023,840,United States,20213.0,2024,842,"USA,PR,USVI",Turkey,TUR,266.8116,$20.2K,1.32%,$267,Cereals,10
1001,1.32,2023,840,United States,90846.0,2024,842,"USA,PR,USVI",Untd.Kingdom,GBR,1199.1672,$90.8K,1.32%,$1.2K,Cereals,10
1003,0.38000000000000006,2023,840,United States,62568859.0,2024,842,"USA,PR,USVI",World,WLD,237761.66420000003,$62.6M,0.38%,$237.8K,Cereals,10
1003,0.38000000000000006,2023,840,United States,181043.0,2024,842,"USA,PR,USVI",Australia,AUS,687.9634000000001,$181.0K,0.38%,$688,Cereals,10
1003,0.38000000000000006,2023,840,United States,25000.0,2024,842,"USA,PR,USVI",Belgium,BEL,95.00000000000001,$25.0K,0.38%,$95,Cereals,10
1003,0.38000000000000006,2023,840,United States,59731913.0,2024,842,"USA,PR,USVI",Canada,CAN,226981.26940000002,$59.7M,0.38%,$227.0K,Cereals,10
