hs4,simple_average,year_x,Reporter_ISO_N,ReporterName_x,trade_value_total,year_y,ReporterCode,ReporterName_y,tariff_revenue_estimate,hs2
2709,1.765,2023,840,United States,348847247796.0,2024,842,"USA,PR,USVI",6157153923.5994,27
2710,7.9196,2023,840,United States,117438016522.0,2024,842,"USA,PR,USVI",9300621156.476313,27
7115,10.465,2023,840,United States,42465583598.0,2024,842,"USA,PR,USVI",4444023323.5307,71
4011,0.47,2023,840,United States,39927492998.0,2024,842,"USA,PR,USVI",187659217.09059998,40
7108,4.235,2023,840,United States,31899420918.0,2024,842,"USA,PR,USVI",1350940475.8773003,71
7102,1.888,2023,840,United States,30724436782.0,2024,842,"USA,PR,USVI",580077366.4441599,71
4202,5.07,2023,840,United States,24212118934.0,2024,842,"USA,PR,USVI",1227554429.9538,42
2208,1.0633333333333332,2023,840,United States,24200808474.0,2024,842,"USA,PR,USVI",257335263.4402,22
8483,5.32,2023,840,United States,22602694044.0,2024,842,"USA,PR,USVI",1202463323.1408,84
6204,23.625,2023,840,United States,20865789774.0,2024,842,"USA,PR,USVI",4929542834.1075,62
6203,19.06571428571429,2023,840,United States,16334267182.0,2024,842,"USA,PR,USVI",3114244711.5853148,62
6404,34.335,2023,840,United States,16273789132.0,2024,842,"USA,PR,USVI",5587605498.472199,64
2204,7.403846153846154,2023,840,United States,14212097818.0,2024,842,"USA,PR,USVI",1052241857.6788461,22
2106,9.011153846153846,2023,840,United States,14156298920.0,2024,842,"USA,PR,USVI",1275645874.6026154,21
6402,34.926,2023,840,United States,13330974658.0,2024,842,"USA,PR,USVI",4655976209.053081,64
9019,0.25,2023,840,United States,13091429558.0,2024,842,"USA,PR,USVI",32728573.895,90
6104,17.915,2023,840,United States,11149107678.0,2024,842,"USA,PR,USVI",1997362640.5137,61
9102,35.01541666666667,2023,840,United States,10042019060.0,2024,842,"USA,PR,USVI",3516254815.605083,91
1806,14.88625,2023,840,United States,9842938076.0,2024,842,"USA,PR,USVI",1465244369.33855,18
3302,2.49,2023,840,United States,9063789782.0,2024,842,"USA,PR,USVI",225688365.57180002,33
