Year,Rate
1821,35.1
1822,34.4
1823,36.5
1824,38.2
1825,46.1
1826,45.7
1827,41.9
1828,48.2
1829,51.1
1830,61.7
1831,57.3
1832,32.3
1833,20.8
1834,20.2
1835,19.3
1836,20.5
1837,18.8
1838,15.5
1839,18.5
1840,15.3
1841,13.9
1842,24.5
1843,33.5
1844,26.9
1845,29.8
1846,26.4
1847,21.1
1848,23.5
1849,22.7
1850,23.1
1851,23.1
1852,24.3
1853,24.4
1854,23.4
1855,23
1856,24.1
1857,19.1
1858,14.8
1859,14.7
1860,15.7
1861,11.2
1862,24.2
1863,31.7
1864,36.1
1865,47.1
1866,47.5
1867,46.1
1868,41.4
1869,43.7
1870,44.7
1871,40
1872,38
1873,28.8
1874,27.5
1875,29.3
1876,29.1
1877,29.1
1878,28.8
1879,28.7
1880,29.3
1881,29.3
1882,29.3
1883,29.8
1884,28.8
1885,30
1886,29.6
1887,30.3
1888,29.6
1889,29.3
1890,29.5
1891,20.9
1892,20.5
1893,21.5
1894,20.5
1895,20.7
1896,20.5
1897,20.5
1898,24.8
1899,24
1900,24.1
1901,23.4
1902,23.5
1903,23.3
1904,24.4
1905,23.1
1906,22.6
1907,22.7
1908,22.3
1909,21.8
1910,21.1
1911,20.3
1912,18.6
1913,17.9
1914,13.8
1915,10.2
1916,8.8
1917,6.4
1918,6
1919,5.8
1920,5.7
1921,10.4
1922,14.7
1923,14
1924,14
1925,13.7
1926,14.5
1927,14.1
1928,13.4
1929,13.1
1930,14.8
1931,17.7
1932,18.4
1933,16.2
1934,15.7
1935,14.3
1936,13.4
1937,12.7
1938,12.1
1939,11.9
1940,12.4
1941,10.9
1942,9
1943,7.9
1944,7.4
1945,6.9
1946,7.5
1947,5.9
1948,5.1
1949,5.2
1950,5.1
1951,4.9
1952,5.2
1953,5.1
1954,5.1
1955,5.1
1956,5.3
1957,5.3
1958,5.4
1959,6
1960,6.2
1961,6.5
1962,6.7
1963,6.7
1964,6.7
1965,6.6
1966,6.3
1967,6.4
1968,6.2
1969,5.7
1970,5.4
1971,4.8
1972,4.3
1973,4
1974,3.8
1975,4
1976,3.6
1977,3.5
1978,3.3
1979,3.1
1980,3.2
1981,3.2
1982,3.4
1983,3.5
1984,3.5
1985,3.6
1986,3.7
1987,3.6
1988,3.4
1989,3.3
1990,3.2
1991,3.1
1992,3.1
1993,2.9
1994,2.7
1995,2.6
1996,2.5
1997,4.44
1998,4.34
1999,4.49
2000,3.88
2001,3.87
2002,3.82
2003,3.98
2004,3.53
2005,3.31
2006,3.23
2007,3.14
2008,3.01
2009,3.1
2010,3.0
2011,2.96
2012,3.03
2013,2.99
2014,2.87
2015,2.93
2016,2.8
2017,2.76
2018,3.36
2019,3.25
2020,8.7
2021,2.87
2022,2.79
2023,3.0
2024,3.1
2025,3.2
